RaceId,RaceName,CourseId,CourseName,Off,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating,ResultStatus,FinishingPosition,BeatenDistance,OverallBeatenDistance,RaceTime,RaceTimeInSeconds
7,Ring20 Better Lives With Epilepsy Amateur Jockeys' Handicap,7,Brighton,09/01/2024 14:22:00,Other,Class 6,,0-65,3yo+,None,1m4f,12,2412,2640,Good To Firm,Turf,3208573,Pride Of Nepal,92175,Miss Sarah Bowen,9714,Tony Carroll,6,tp,2,1,10-12,172,11/4J,3.75,61,70,26,CompletedRace,1,0,0,00:02:35.9000000,155.9
7,Ring20 Better Lives With Epilepsy Amateur Jockeys' Handicap,7,Brighton,09/01/2024 14:22:00,Other,Class 6,,0-65,3yo+,None,1m4f,12,2412,2640,Good To Firm,Turf,5244602,French Martini,97938,Mr David Dunsdon,41396,Gary & Josh Moore,4,ht,4,6,10-10,170,15/2,8.5,59,64,21,CompletedRace,2,2,2,00:02:36.3000000,156.3
7,Ring20 Better Lives With Epilepsy Amateur Jockeys' Handicap,7,Brighton,09/01/2024 14:22:00,Other,Class 6,,0-65,3yo+,None,1m4f,12,2412,2640,Good To Firm,Turf,890541,The Resdev Way,11683,Miss Serena Brotherton,38543,Michael & David Easterby,11,,7,2,9-11,155,3/1,4,46,49,5,CompletedRace,3,1.5,3.5,00:02:36.6000000,156.6
7,Ring20 Better Lives With Epilepsy Amateur Jockeys' Handicap,7,Brighton,09/01/2024 14:22:00,Other,Class 6,,0-65,3yo+,None,1m4f,12,2412,2640,Good To Firm,Turf,3257943,Fen Tiger,84818,Mr Ross Birkett,14532,Julia Feilden,6,,5,4,10-4,164,11/4J,3.75,53,55,12,CompletedRace,4,0.3,3.75,00:02:36.6500000,156.65
7,Ring20 Better Lives With Epilepsy Amateur Jockeys' Handicap,7,Brighton,09/01/2024 14:22:00,Other,Class 6,,0-65,3yo+,None,1m4f,12,2412,2640,Good To Firm,Turf,4396730,Miss Raindrop,101726,Miss Olive Nicholls,27500,Alexandra Dunn,4,,8,8,9-8,152,25/1,26,46,39,,CompletedRace,5,5.5,9.25,00:02:37.7500000,157.75
7,Ring20 Better Lives With Epilepsy Amateur Jockeys' Handicap,7,Brighton,09/01/2024 14:22:00,Other,Class 6,,0-65,3yo+,None,1m4f,12,2412,2640,Good To Firm,Turf,2806546,Breguet Boy,91400,Miss Brodie Hampson,32276,Archie Watson,7,b,6,7,10-1,161,5/1,6,50,43,,CompletedRace,6,0.3,9.5,00:02:37.8000000,157.8
7,Ring20 Epilepsy 10th Anniversary EBF Restricted Maiden Stakes (Band D) (EBF Qualifier) (GBB Race),7,Brighton,09/01/2024 14:52:00,Other,Class 5,,,2yo,None,5½f,5.5,1105,1210,Good To Firm,Turf,6079181,Acrisius,95152,Billy Garritty,38543,Michael & David Easterby,2,,1,2,9-7,151,EvensF,2,72,74,39,CompletedRace,1,0,0,00:01:02.4400000,62.44
7,Ring20 Epilepsy 10th Anniversary EBF Restricted Maiden Stakes (Band D) (EBF Qualifier) (GBB Race),7,Brighton,09/01/2024 14:52:00,Other,Class 5,,,2yo,None,5½f,5.5,1105,1210,Good To Firm,Turf,6388814,Rory Rocket,78935,Tom Queally,41396,Gary & Josh Moore,2,,3,3,9-7,151,11/1,12,,70,35,CompletedRace,2,1.25,1.25,00:01:02.6900000,62.69
7,Ring20 Epilepsy 10th Anniversary EBF Restricted Maiden Stakes (Band D) (EBF Qualifier) (GBB Race),7,Brighton,09/01/2024 14:52:00,Other,Class 5,,,2yo,None,5½f,5.5,1105,1210,Good To Firm,Turf,6143213,One For Harvey,92620,Dylan Hogan,14532,Julia Feilden,2,,4,1,9-2,146,4/1,5,,56,21,CompletedRace,3,2.5,3.75,00:01:03.1900000,63.19
7,Ring20 Epilepsy 10th Anniversary EBF Restricted Maiden Stakes (Band D) (EBF Qualifier) (GBB Race),7,Brighton,09/01/2024 14:52:00,Other,Class 5,,,2yo,None,5½f,5.5,1105,1210,Good To Firm,Turf,6143209,Cheeky Stanley,83746,Silvestre De Sousa,20005,George Baker,2,h1,2,4,9-7,151,9/4,3.25,,17,,CompletedRace,4,12,15.75,00:01:05.5900000,65.59
