FinishingPosition,Won,FractionalOdds,DecimalOdds,ResultStatus,RaceId,CourseId,CourseName,Off,HorseId,HorseName,WinProbability,Stake
1,True,3/1,4,CompletedRace,924097,7,Brighton,08/05/2026 15:30:00,7365386,Sea Suite IRE,0.25018394,1.39
1,True,1/2F,1.5,CompletedRace,924087,46,Pontefract,08/05/2026 17:15:00,7686986,Division Day,0.43519047,2.38
1,True,4/5F,1.8,CompletedRace,924082,31,Lingfield,08/04/2026 19:18:00,8070670,Tabasko,0.3184255,0
1,True,1/2F,1.5,CompletedRace,924054,40,Nottingham,08/03/2026 16:40:00,8214901,Del Corso,0.36593342,0
1,True,5/6F,1.8333333333333335,CompletedRace,924055,40,Nottingham,08/03/2026 17:10:00,8120587,Venetian Lion,0.32144225,0
5,False,3/1,4,CompletedRace,924069,93,Windsor,08/03/2026 18:00:00,4728070,Market House IRE,0.27676475,0.64
1,True,EvensF,2,CompletedRace,924041,13,Chester,08/02/2026 15:52:00,6692990,Dance In The Storm,0.28941587,0
2,False,8/5F,2.6,CompletedRace,926118,206,Deauville,08/02/2026 12:56:00,9344874,Queen Of The Day IRE,0.3955728,0
1,True,1/2F,1.5,CompletedRace,926117,206,Deauville,08/02/2026 15:40:00,7360560,Blue Bolt IRE,0.23918477,0
1,True,1/2F,1.5,CompletedRace,924047,104,Yarmouth,08/02/2026 14:35:00,8137375,Brighton View,0.49726737,3.55
1,True,5/4F,2.25,CompletedRace,924013,15,Doncaster,08/01/2026 14:30:00,9387262,Weleyff IRE,0.3929398,1.19
2,False,15/8F,2.875,CompletedRace,923952,21,Goodwood,08/01/2026 14:25:00,6613678,Opportunity,0.27334374,0
6,False,4/1,5,CompletedRace,922436,21,Goodwood,08/01/2026 15:00:00,5490594,Danielle,0.30790907,0.96
5,False,5/1,6,CompletedRace,924024,22,Hamilton,08/01/2026 20:30:00,4502659,Rajapour IRE,0.237968,0.3
2,False,4/1,5,CompletedRace,924026,31,Lingfield,08/01/2026 17:05:00,4471469,Londoner IRE,0.23194902,2.23
1,True,8/15F,1.5333333333333332,CompletedRace,924027,31,Lingfield,08/01/2026 18:15:00,8437046,Campeona,0.42439488,0
1,True,5/4F,2.25,CompletedRace,924028,31,Lingfield,08/01/2026 20:15:00,6143341,Distinct Spirit,0.4260017,0.49
2,False,5/2F,3.5,CompletedRace,924010,174,Newmarket (July),08/01/2026 15:23:00,7436444,Lion Of Mali,0.32878536,1.39
3,False,100/30,4.333333333333334,CompletedRace,925339,174,Newmarket (July),08/01/2026 16:33:00,8062562,Thaluna,0.43918443,4.61
2,False,6/5F,2.2,CompletedRace,925557,445,Saratoga,08/01/2026 22:44:00,8210051,Commandment,0.39791283,0
2,False,100/30,4.333333333333334,CompletedRace,924037,80,Thirsk,08/01/2026 14:43:00,9268202,Le Samourai IRE,0.25575534,1.03
1,True,4/7F,1.5714285714285714,CompletedRace,924038,80,Thirsk,08/01/2026 16:22:00,8290509,La Peregrina,0.29692245,0
