FinishingPosition,Won,FractionalOdds,DecimalOdds,ResultStatus,RaceId,CourseId,CourseName,Off,HorseId,HorseName
1,True,16/1,17,CompletedRace,912533,513,Wolverhampton (AW),02/23/2026 16:25:00,5009862,Bint Havana Gold right
7,False,50/1,51,CompletedRace,913989,513,Wolverhampton (AW),02/23/2026 18:30:00,5002207,Marisitta right
1,True,15/8,2.875,CompletedRace,913855,192,Naas,02/22/2026 14:30:00,7556681,Majolique right
3,False,15/8,2.875,CompletedRace,913859,192,Naas,02/22/2026 16:30:00,2929506,Captain Guinness right
6,False,23/1,24,CompletedRace,913956,416,Sha Tin,02/22/2026 18:30:00,5079103,Youthful Spirits right
3,False,25/1,26,CompletedRace,911760,1083,Chelmsford (AW),02/21/2026 18:00:00,3900242,Cabeza De Llave right
3,False,12/1,13,CompletedRace,911758,1083,Chelmsford (AW),02/21/2026 20:00:00,4273975,Drafted right
0,False,SP,,NonRunner,911767,393,Lingfield (AW),02/21/2026 17:00:00,7390871,Corniche Girl right
7,False,12/1,13,CompletedRace,913787,1138,Dundalk (AW),02/20/2026 15:40:00,5073314,Clonmacash right
1,True,4/1,5,CompletedRace,913794,1138,Dundalk (AW),02/20/2026 19:15:00,7588066,So Must I right
6,False,13/2,7.5,CompletedRace,911744,1353,Newcastle (AW),02/19/2026 18:00:00,3048725,Swiss Ace right
9,False,20/1,21,CompletedRace,911742,1353,Newcastle (AW),02/19/2026 20:00:00,4420156,Pop Star right
1,True,13/2,7.5,CompletedRace,911576,57,Sedgefield,02/19/2026 13:58:00,3495434,Coup De Coeur right
2,False,13/8F,2.625,CompletedRace,911579,57,Sedgefield,02/19/2026 16:17:00,4175161,Mersey Street right
